INFO:tensorflow:step:  100,loss:0.677,accuracy:0.740
INFO:tensorflow:step:  200,loss:0.508,accuracy:0.850
INFO:tensorflow:step:  300,loss:0.676,accuracy:0.780
INFO:tensorflow:step:  400,loss:0.531,accuracy:0.830
INFO:tensorflow:step:  500,loss:0.495,accuracy:0.850
INFO:tensorflow:step:  600,loss:0.501,accuracy:0.850
INFO:tensorflow:step:  700,loss:0.508,accuracy:0.840
INFO:tensorflow:step:  800,loss:0.546,accuracy:0.830
INFO:tensorflow:step:  900,loss:0.370,accuracy:0.920
INFO:tensorflow:step: 1000,loss:0.585,accuracy:0.840
INFO:tensorflow:step: 1100,loss:0.467,accuracy:0.870
INFO:tensorflow:step: 1200,loss:0.328,accuracy:0.930
INFO:tensorflow:step: 1300,loss:0.557,accuracy:0.850
INFO:tensorflow:step: 1400,loss:0.483,accuracy:0.890
INFO:tensorflow:step: 1500,loss:0.492,accuracy:0.850
INFO:tensorflow:step: 1600,loss:0.423,accuracy:0.880
INFO:tensorflow:step: 1700,loss:0.448,accuracy:0.890
INFO:tensorflow:step: 1800,loss:0.346,accuracy:0.900
INFO:tensorflow:step: 1900,loss:0.459,accuracy:0.870
INFO:tensorflow:step: 2000,loss:0.466,accuracy:0.850
INFO:tensorflow:step: 2100,loss:0.509,accuracy:0.840
INFO:tensorflow:step: 2200,loss:0.497,accuracy:0.830
INFO:tensorflow:step: 2300,loss:0.464,accuracy:0.840
INFO:tensorflow:step: 2400,loss:0.378,accuracy:0.860
INFO:tensorflow:step: 2500,loss:0.465,accuracy:0.820
INFO:tensorflow:step: 2600,loss:0.401,accuracy:0.890
INFO:tensorflow:step: 2700,loss:0.587,accuracy:0.790
INFO:tensorflow:step: 2800,loss:0.376,accuracy:0.890
INFO:tensorflow:step: 2900,loss:0.498,accuracy:0.840
INFO:tensorflow:step: 3000,loss:0.287,accuracy:0.920
INFO:tensorflow:step: 3100,loss:0.278,accuracy:0.920
INFO:tensorflow:step: 3200,loss:0.353,accuracy:0.890
INFO:tensorflow:step: 3300,loss:0.301,accuracy:0.860
INFO:tensorflow:step: 3400,loss:0.379,accuracy:0.840
INFO:tensorflow:step: 3500,loss:0.353,accuracy:0.860
INFO:tensorflow:step: 3600,loss:0.349,accuracy:0.880
INFO:tensorflow:step: 3700,loss:0.500,accuracy:0.830
INFO:tensorflow:step: 3800,loss:0.325,accuracy:0.930
INFO:tensorflow:step: 3900,loss:0.191,accuracy:0.970
INFO:tensorflow:step: 4000,loss:0.219,accuracy:0.940
INFO:tensorflow:step: 4100,loss:0.169,accuracy:0.960
INFO:tensorflow:step: 4200,loss:0.128,accuracy:0.940
INFO:tensorflow:step: 4300,loss:0.121,accuracy:0.950
INFO:tensorflow:step: 4400,loss:0.198,accuracy:0.920
INFO:tensorflow:step: 4500,loss:0.150,accuracy:0.960
INFO:tensorflow:step: 4600,loss:0.053,accuracy:0.990
INFO:tensorflow:step: 4700,loss:0.049,accuracy:0.980
INFO:tensorflow:step: 4800,loss:0.091,accuracy:0.950
INFO:tensorflow:step: 4900,loss:0.080,accuracy:0.960
INFO:tensorflow:step: 5000,loss:0.059,accuracy:0.970
